"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","34.207.24.140","TCP","54","40602  >  443 [ACK] Seq=1 Ack=1 Win=63360 Len=0"
"2","0.000163841","34.207.24.140","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  40602 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"16","0.361527806","10.0.2.15","23.203.176.221","OCSP","478","Request"
"17","0.361721281","23.203.176.221","10.0.2.15","TCP","60","80  >  46946 [ACK] Seq=1 Ack=425 Win=65535 Len=0"
"19","0.371220562","23.203.176.221","10.0.2.15","OCSP","928","Response"
"20","0.371226217","10.0.2.15","23.203.176.221","TCP","54","46946  >  80 [ACK] Seq=425 Ack=875 Win=63729 Len=0"
"86","0.488683984","10.0.2.15","142.251.35.170","TCP","74","48252  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2295324457 TSecr=0 WS=128"
"106","0.495675755","142.251.35.170","10.0.2.15","TCP","60","443  >  48252 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"109","0.495692609","10.0.2.15","142.251.35.170","TCP","54","48252  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"120","0.497230991","10.0.2.15","142.251.35.170","TLSv1.3","726","Client Hello"
"121","0.497333485","142.251.35.170","10.0.2.15","TCP","60","443  >  48252 [ACK] Seq=1 Ack=673 Win=65535 Len=0"
"122","0.497397209","10.0.2.15","142.251.35.170","TLSv1.3","60","Change Cipher Spec"
"123","0.497412894","10.0.2.15","142.251.35.170","TLSv1.3","677","Application Data"
"124","0.497484653","142.251.35.170","10.0.2.15","TCP","60","443  >  48252 [ACK] Seq=1 Ack=679 Win=65535 Len=0"
"125","0.497527244","142.251.35.170","10.0.2.15","TCP","60","443  >  48252 [ACK] Seq=1 Ack=1302 Win=65535 Len=0"
"126","0.497651486","10.0.2.15","23.203.176.221","OCSP","478","Request"
"127","0.497708348","23.203.176.221","10.0.2.15","TCP","60","80  >  46956 [ACK] Seq=1 Ack=425 Win=65535 Len=0"
"129","0.498721739","10.0.2.15","23.203.176.221","OCSP","478","Request"
"130","0.498809363","23.203.176.221","10.0.2.15","TCP","60","80  >  46946 [ACK] Seq=875 Ack=849 Win=65535 Len=0"
"135","0.509209944","23.203.176.221","10.0.2.15","OCSP","927","Response"
"136","0.509215391","10.0.2.15","23.203.176.221","TCP","54","46956  >  80 [ACK] Seq=425 Ack=874 Win=63729 Len=0"
"139","0.511968620","23.203.176.221","10.0.2.15","OCSP","928","Response"
"140","0.511973957","10.0.2.15","23.203.176.221","TCP","54","46946  >  80 [ACK] Seq=849 Ack=1749 Win=63729 Len=0"
"141","0.512368456","10.0.2.15","192.124.249.24","TCP","54","55184  >  80 [ACK] Seq=1 Ack=1 Win=63360 Len=0"
