"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","34.206.214.13","TLSv1.2","631","Application Data"
"2","0.000186451","34.206.214.13","10.0.2.15","TCP","60","443  >  49560 [ACK] Seq=1 Ack=578 Win=65535 Len=0"
"3","0.013868760","10.0.2.15","34.206.214.13","TLSv1.2","582","Application Data"
"4","0.013977012","34.206.214.13","10.0.2.15","TCP","60","443  >  49560 [ACK] Seq=1 Ack=1106 Win=65535 Len=0"
"5","0.016888810","34.206.214.13","10.0.2.15","TLSv1.2","275","Application Data, Application Data"
"6","0.016897428","10.0.2.15","34.206.214.13","TCP","54","49560  >  443 [ACK] Seq=1106 Ack=222 Win=63360 Len=0"
"7","0.029700978","34.206.214.13","10.0.2.15","TLSv1.2","275","Application Data, Application Data"
"8","0.029708470","10.0.2.15","34.206.214.13","TCP","54","49560  >  443 [ACK] Seq=1106 Ack=443 Win=63360 Len=0"
"9","0.147495457","10.0.2.15","142.251.41.3","TCP","54","58130  >  80 [ACK] Seq=1 Ack=1 Win=63916 Len=0"
"10","0.147603137","142.251.41.3","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 80  >  58130 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"11","0.350602786","10.0.2.15","34.206.214.13","TLSv1.2","583","Application Data"
"12","0.350795478","34.206.214.13","10.0.2.15","TCP","60","443  >  49560 [ACK] Seq=443 Ack=1635 Win=65535 Len=0"
"13","0.367617938","34.206.214.13","10.0.2.15","TLSv1.2","275","Application Data, Application Data"
"14","0.367629477","10.0.2.15","34.206.214.13","TCP","54","49560  >  443 [ACK] Seq=1635 Ack=664 Win=63360 Len=0"
"15","0.399502147","10.0.2.15","142.251.41.3","TCP","54","58118  >  80 [ACK] Seq=1 Ack=1 Win=63916 Len=0"
"16","0.399591418","142.251.41.3","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 80  >  58118 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"17","0.734918712","10.0.2.15","199.232.91.5","TCP","74","54810  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2990727225 TSecr=0 WS=128"
"18","0.741069393","199.232.91.5","10.0.2.15","TCP","60","80  >  54810 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
