"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","34.206.214.13","TLSv1.2","701","Application Data"
"2","0.000193757","34.206.214.13","10.0.2.15","TCP","60","443  >  49560 [ACK] Seq=1 Ack=648 Win=65535 Len=0"
"3","0.012107787","10.0.2.15","18.173.240.180","TCP","54","60990  >  80 [FIN, ACK] Seq=1 Ack=1 Win=63170 Len=0"
"4","0.012231731","18.173.240.180","10.0.2.15","TCP","60","80  >  60990 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"5","0.016715738","34.206.214.13","10.0.2.15","TLSv1.2","275","Application Data, Application Data"
"6","0.016721524","10.0.2.15","34.206.214.13","TCP","54","49560  >  443 [ACK] Seq=648 Ack=222 Win=63360 Len=0"
"7","0.018759414","18.173.240.180","10.0.2.15","TCP","60","80  >  60990 [FIN, ACK] Seq=1 Ack=2 Win=65535 Len=0"
"8","0.018771204","10.0.2.15","18.173.240.180","TCP","54","60990  >  80 [ACK] Seq=2 Ack=2 Win=63170 Len=0"
"9","0.573291168","10.0.2.15","34.206.214.13","TLSv1.2","701","Application Data"
"10","0.573481794","34.206.214.13","10.0.2.15","TCP","60","443  >  49560 [ACK] Seq=222 Ack=1295 Win=65535 Len=0"
"11","0.591544338","34.206.214.13","10.0.2.15","TLSv1.2","244","Application Data"
"12","0.591552519","10.0.2.15","34.206.214.13","TCP","54","49560  >  443 [ACK] Seq=1295 Ack=412 Win=63360 Len=0"
"13","0.591590746","34.206.214.13","10.0.2.15","TLSv1.2","85","Application Data"
"14","0.591592770","10.0.2.15","34.206.214.13","TCP","54","49560  >  443 [ACK] Seq=1295 Ack=443 Win=63360 Len=0"
"15","0.592590284","10.0.2.15","34.120.63.153","TLSv1.2","93","Application Data"
"16","0.592610355","10.0.2.15","3.218.122.15","TLSv1.2","93","Application Data"
"17","0.592620734","10.0.2.15","207.65.37.179","TLSv1.2","93","Application Data"
"18","0.592630348","10.0.2.15","34.107.165.188","TLSv1.2","93","Application Data"
"19","0.592641789","10.0.2.15","108.138.106.108","TLSv1.2","93","Application Data"
"20","0.592653547","10.0.2.15","52.0.96.241","TLSv1.2","93","Application Data"
"21","0.592673971","34.120.63.153","10.0.2.15","TCP","60","443  >  33458 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"22","0.592676888","10.0.2.15","18.164.116.58","TLSv1.2","93","Application Data"
"23","0.592703513","3.218.122.15","10.0.2.15","TCP","60","443  >  54574 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
